id,x,y
3,-0.337268,2.95107
5,-0.975634,5.53926
7,7.20651,3.17375
9,4.85318,6.31382
11,13.0935,3.4617
13,11.0684,6.09139
15,19.1002,3.75354
17,16.8441,6.23326
19,24.9277,3.94824
21,22.6373,6.82749
23,30.9997,3.86968
25,28.6679,6.97921
27,36.9182,4.29414
29,34.5676,6.92208
31,42.8844,3.70902
33,40.1012,6.69802
35,48.1349,4.49378
37,44.5789,6.11904
39,52.1102,4.16873
41,52.7456,6.85152
43,60.775,4.64516
45,58.8014,7.38221
47,67.0261,4.146
49,65.2164,7.02489
51,72.8489,4.85531
53,70.4248,7.44661
55,78.6914,4.91192
57,76.3835,7.68903
59,84.7337,4.83539
61,82.4811,7.90166
63,90.6736,5.0837
65,88.1249,8.17397
67,96.7944,4.72805
69,94.2917,7.34225
71,102.18,5.36685
73,98.5483,7.13581
75,106.117,4.97496
77,106.833,7.68235
79,114.828,5.25425
81,112.724,7.82052
83,120.542,5.5604
85,118.141,8.19661
107,-0.454401,1.99356
109,-1.50583,4.05846
111,4.12796,1.81133
112,4.65135,3.69677
113,4.16726,4.57604
115,10.0192,2.28505
117,10.0522,4.80294
119,15.9856,2.58266
121,15.7954,5.2423
123,21.9144,2.4894
125,21.863,5.18862
127,27.7948,2.90036
129,28.0162,5.26816
131,33.7566,2.78995
133,33.6618,5.53065
135,39.7718,3.08802
137,41.9683,5.37125
139,48.0602,3.30765
141,45.9895,5.71403
143,51.956,3.12453
145,51.2642,5.83525
147,57.5756,3.20811
149,57.8394,5.9134
151,63.6616,3.27643
153,64.2602,5.65364
155,69.6491,3.14169
157,69.8078,6.03239
159,75.7887,3.64719
161,75.6632,6.00622
163,81.5282,3.75914
165,81.5614,6.47373
167,87.4716,3.71827
169,87.403,6.44382
171,93.4801,4.07665
173,96.0281,6.23982
175,102.071,3.97893
176,100.159,6.3405
177,100.103,6.6662
179,105.919,3.89247
181,105.415,6.66462
183,111.599,3.83235
185,111.634,6.47583
187,117.526,4.05144
189,117.344,6.89928
191,123.289,5.07886
193,122.457,7.87894
