id,x,y
1,4.30987,1.82954
3,4.29814,1.92371
4,10.5296,-2.0333
5,10.5595,-2.12778
7,10.4355,-2.16394
8,15.6587,-5.29985
9,15.6629,-5.4299
11,15.439,-5.58199
12,20.7506,-8.60274
13,20.7221,-8.74664
15,20.4125,-8.99638
16,25.792,-11.9394
17,25.6695,-12.0257
19,25.3272,-12.0064
20,30.8632,-15.3049
21,30.8044,-15.4102
23,30.4823,-15.3313
24,35.8777,-18.5998
25,35.8603,-18.7333
27,35.4948,-18.5792
28,40.9484,-21.9695
29,40.8208,-22.0609
32,45.3765,-25.1045
33,45.3296,-25.2141
36,48.6679,-27.2535
37,48.5845,-27.3557
40,55.1365,-31.3751
41,55.0574,-31.4333
104,3.83247,1.22345
105,3.74008,1.09147
107,3.84107,1.08908
108,7.66142,-1.29076
109,7.5367,-1.3696
110,7.74369,-1.48743
111,7.58606,-1.43618
112,12.6759,-4.52027
113,12.6116,-4.64339
115,12.4932,-4.81387
116,17.8373,-7.83419
117,17.759,-7.93292
119,17.473,-7.97422
120,22.8936,-11.1626
121,22.7549,-11.2422
123,22.3794,-11.3398
124,27.8696,-14.4641
125,27.7956,-14.5604
127,27.3739,-14.473
128,32.927,-17.7886
129,32.8963,-17.9387
131,32.4421,-17.7722
132,37.9765,-21.1707
133,37.8675,-21.2821
135,37.5628,-21.1663
136,44.958,-25.9137
137,44.9314,-26.0465
140,48.1688,-28.0868
141,48.0079,-28.1509
144,51.7576,-31.0462
145,52.1117,-30.8233
209,3.14746,0.0158651
211,3.28427,0.152611
212,9.73026,-3.70614
213,9.47092,-3.74331
215,9.66922,-4.1752
216,14.7865,-6.97734
217,14.7561,-7.12855
219,14.4995,-7.39408
220,19.9265,-10.3053
221,19.8509,-10.4284
223,19.5145,-10.6232
224,24.9294,-13.6434
225,24.8338,-13.7913
227,24.4865,-13.8604
228,29.9595,-16.9709
229,29.8941,-17.1019
231,29.6157,-17.1926
232,35.0322,-20.3211
233,34.9562,-20.4364
235,34.7387,-20.5762
236,39.975,-23.5993
237,39.8538,-23.6971
238,40.1345,-23.6336
239,39.8352,-23.6181
240,44.487,-26.7101
241,44.4032,-26.8303
244,47.749,-28.9289
245,47.7408,-29.0415
312,2.24664,-1.44598
313,2.14733,-1.565
314,2.49455,-1.43817
315,2.4298,-1.5697
316,6.22347,-3.76477
317,6.16432,-3.90371
318,6.30694,-3.98109
319,6.26968,-4.17395
320,11.4563,-7.03179
321,11.3776,-7.13247
322,11.2566,-7.44583
323,11.1228,-7.4802
324,16.5077,-10.2717
326,16.2202,-10.431
327,16.1969,-10.7212
328,21.459,-13.5142
329,21.4412,-13.6912
330,21.2104,-13.8105
331,21.1854,-13.9578
332,26.5317,-16.8687
334,26.2888,-17.0686
335,26.2482,-17.1962
336,31.6156,-20.2883
337,31.4893,-20.3126
338,31.2904,-20.3822
339,31.2036,-20.4749
340,36.6848,-23.6519
341,36.5472,-23.6825
342,36.4031,-23.7099
343,36.321,-23.8328
344,43.5453,-28.291
346,43.6127,-28.3072
347,43.5153,-28.4604
348,47.0014,-30.5292
349,46.8416,-30.533
352,51.6297,-33.5003
353,51.2275,-33.286
416,1.74665,-2.18888
417,1.80044,-2.36295
418,2.08929,-2.3055
419,2.03282,-2.39707
421,8.45112,-6.26972
423,8.33265,-6.5857
424,8.22687,-6.69508
425,13.5233,-9.47998
427,13.4437,-9.85068
428,13.3793,-9.97882
429,18.67,-12.8589
431,18.3263,-13.1073
432,18.2287,-13.1975
433,23.5575,-16.0846
435,23.2474,-16.2339
436,23.1841,-16.3494
437,28.7056,-19.5654
439,28.2953,-19.43
440,28.2531,-19.5629
441,33.6537,-22.8013
443,33.3625,-22.771
444,33.3048,-22.8961
445,38.6527,-26.1028
447,38.4264,-26.0616
448,38.8306,-26.0934
449,43.1347,-29.2468
450,43.0624,-29.3254
451,43.1855,-29.2676
452,42.9695,-29.2596
453,46.4134,-31.3871
455,46.2674,-31.1726
457,53.2177,-35.7056
521,1.46436,-3.1747
523,1.56411,-3.06063
524,1.50912,-3.18709
525,5.3524,-5.40446
527,5.42835,-5.68811
528,5.41309,-5.81766
529,10.5332,-8.78818
531,10.4203,-9.05157
532,10.3706,-9.16511
533,15.6136,-12.0452
535,15.3093,-12.2083
536,15.3019,-12.3532
537,20.625,-15.314
539,20.3442,-15.4498
540,20.2963,-15.5647
541,25.7632,-18.8052
542,25.7536,-18.815
543,25.4156,-18.6999
544,25.3789,-18.8526
545,30.6229,-21.9412
547,30.4156,-21.9599
548,30.3718,-22.0754
549,35.6667,-25.3394
551,35.4041,-25.1992
552,35.4002,-25.3495
553,42.6541,-30.1794
554,42.6736,-30.3215
555,42.5933,-29.9041
557,45.962,-32.2674
559,45.7339,-32.034
561,50.5132,-35.0934
565,55.2826,-38.6914
