id,x,y
0,-0.899199,2.3655
1,-1.35509,2.82396
2,-1.32382,3.31703
3,0.142218,2.9975
5,7.74429,2.96293
7,7.7523,3.11359
9,13.9462,3.17455
11,13.8245,3.24197
13,19.4611,3.05958
15,19.8076,3.22281
17,25.4549,3.08048
18,24.4929,3.63249
19,25.7515,3.45091
21,31.6143,3.30633
22,30.6088,3.80782
23,31.8325,3.51855
25,37.6439,3.42527
26,36.5728,3.8032
27,37.807,3.5608
29,43.6091,3.50495
30,42.5306,3.91596
31,43.6771,3.59793
32,50.5728,4.48968
33,49.2776,3.67874
35,49.1632,3.78736
37,53.0808,3.69083
38,51.9332,4.10131
39,53.126,3.81406
40,61.4188,4.0321
41,61.5153,3.79871
42,60.3642,4.26742
43,61.5996,3.99157
45,67.442,3.92197
47,67.7637,4.06682
49,73.6807,4.03407
50,72.6198,4.46776
51,73.7792,4.25148
53,79.1749,4.09078
54,78.2448,4.58155
55,79.5942,4.33799
57,85.5234,4.35665
58,84.2097,4.65301
59,85.5386,4.40462
61,91.2612,4.30878
62,90.1928,4.75884
63,91.4962,4.44082
65,97.4155,4.38216
66,96.1671,4.85568
67,97.5443,4.60365
68,102.769,4.67898
69,102.953,4.52622
70,101.763,4.91409
71,103.087,4.67895
73,106.659,4.53141
74,105.864,5.02845
75,106.863,4.76763
77,115.266,4.58309
78,114.332,5.08177
79,115.426,4.82741
81,121.338,4.77951
82,120.346,5.21012
83,121.467,4.92986
85,127.131,4.72657
87,127.467,5.0686
89,133.573,5.01428
90,132.235,5.37353
91,133.408,5.11625
93,139.195,4.96931
94,138.162,5.40772
95,139.401,5.16382
97,145.211,5.01812
98,144.236,5.71307
99,145.509,5.29905
100,149.831,5.39226
101,149.753,5.29709
103,149.934,5.48657
104,-1.26447,2.24074
105,-1.26956,1.94488
106,-1.2772,2.38657
107,0.180509,2.03622
108,4.63292,2.13108
109,4.67716,1.90328
110,3.64506,2.34599
111,4.86558,2.03908
112,10.505,2.07313
113,10.7471,1.9937
114,9.54165,2.45463
115,10.903,2.18407
116,15.3309,2.38261
117,16.7158,2.01514
118,15.7255,2.55611
119,16.8365,2.18693
120,21.4328,2.48849
121,22.7361,2.16001
122,21.3769,2.64178
123,22.7417,2.24549
124,27.4161,2.60402
125,28.653,2.2825
126,27.6069,2.78138
127,28.7441,2.32641
128,33.3586,2.69661
129,34.6821,2.35165
130,33.529,2.82971
131,34.8488,2.47385
132,39.3731,2.78623
133,40.6198,2.348
134,39.5771,2.84709
135,40.8413,2.57075
136,47.7547,2.9099
137,49.172,2.54265
138,48.0223,3.07681
139,49.2956,2.81785
140,51.7695,2.99029
141,53.0027,2.61341
142,52.0701,3.09572
143,53.1856,2.78563
144,57.3696,3.00208
145,58.3985,2.7842
146,57.4355,3.26213
147,58.7103,2.86715
148,63.4332,3.20763
149,64.6705,2.92235
150,63.5456,3.35676
151,64.7826,3.03403
152,69.4942,3.33084
153,70.5075,3.02479
154,69.4025,3.48327
155,70.8391,3.10604
156,75.3961,3.40653
157,76.6322,3.12234
158,75.5537,3.59618
159,76.9065,3.26643
160,81.0867,3.53845
