id,x,y
1,4.30773,1.9771
3,4.73254,2.1632
4,10.8303,-2.03747
5,10.1843,-1.48022
7,9.66531,-1.75035
8,16.1167,-5.52568
9,16.1052,-5.65491
11,15.5527,-5.39514
12,21.0922,-8.84248
13,21.0227,-8.99465
15,20.5959,-8.97826
16,26.1328,-12.0545
17,25.6422,-12.2767
19,25.2902,-11.8302
20,31.1128,-15.3074
21,31.0213,-15.6653
23,30.0214,-15.271
24,36.1735,-18.6277
25,36.0516,-18.9232
27,35.4267,-18.7345
28,41.0377,-21.8879
29,41.0831,-22.3316
32,45.8259,-25.1466
33,45.5453,-25.1299
36,48.8083,-27.2403
37,48.7165,-27.4298
40,55.4804,-31.8295
41,55.5328,-31.6956
104,4.17354,1.16554
105,3.80557,1.14624
107,4.22047,1.29489
108,8.08429,-1.57762
109,7.63529,-1.12614
110,7.11519,-1.16714
111,7.33672,-1.05488
112,12.9932,-4.70291
113,12.3479,-4.34618
115,12.0315,-4.30868
116,18.1909,-7.874
117,18.2278,-8.3515
119,17.1039,-7.9316
120,23.1487,-11.3113
121,22.7997,-11.5569
123,21.7766,-10.3068
124,28.2004,-14.6743
125,28.1499,-14.6704
127,26.8958,-14.297
128,33.3092,-17.9023
129,33.2781,-18.2766
131,32.2075,-17.68
132,38.374,-21.0964
133,38.1792,-21.1943
135,37.6481,-21.3412
136,45.122,-25.8706
137,44.9621,-26.1481
140,48.3534,-28.1824
141,48.1461,-28.2988
144,51.8331,-31.3211
145,52.896,-31.5087
209,3.17892,-0.445834
211,3.222,0.386465
212,10.061,-3.89243
213,9.42115,-3.50804
215,9.09983,-3.51928
216,14.9052,-7.17455
217,14.886,-7.32898
219,14.1874,-7.22084
220,20.0699,-10.6256
221,19.9994,-10.7276
223,19.3878,-10.393
224,24.8703,-13.8041
225,24.9381,-14.058
227,24.1093,-13.4657
228,30.0277,-17.131
229,29.9699,-17.3181
231,29.2749,-17.2672
232,35.2066,-20.6781
233,35.1203,-20.8082
235,34.5648,-20.6965
236,40.1504,-24.0324
237,39.8972,-23.9379
238,40.5623,-23.8172
239,39.7464,-22.5988
240,44.6055,-26.8939
241,44.4529,-26.9481
244,47.8515,-29.0404
245,47.7728,-29.1334
312,2.24004,-1.59062
313,2.16666,-1.72635
314,2.31624,-1.23537
315,2.12194,-1.30554
316,6.27117,-3.70118
317,6.16549,-4.1002
318,6.08118,-3.77238
319,5.9519,-3.90434
320,11.8554,-7.08041
321,11.8152,-7.01179
322,10.9389,-7.46258
323,10.9729,-7.27541
324,17.0007,-10.2681
326,16.0331,-10.3229
327,15.9139,-10.7794
328,21.6457,-13.6972
329,21.8146,-13.9913
330,21.2107,-13.7107
331,20.7453,-13.7275
332,26.8203,-17.0618
334,26.2479,-17.0378
335,25.9456,-17.3923
336,32.0008,-20.5136
337,31.7434,-20.5238
338,31.0662,-20.5543
339,30.7681,-20.4981
340,36.9005,-23.7769
341,36.7619,-23.7684
342,36.2548,-23.818
343,36.2495,-24.3265
344,43.75,-28.3003
346,43.403,-28.3829
347,43.4739,-28.714
348,47.3449,-30.3801
349,47.1797,-30.688
352,52.6934,-33.2956
353,51.3012,-33.4082
416,1.33094,-2.30492
417,2.0229,-2.0868
418,1.84375,-2.11739
419,1.81149,-2.27596
421,9.00603,-6.22853
423,8.10501,-6.22248
424,7.99668,-6.3195
425,13.9581,-9.60702
427,13.1867,-9.63714
428,13.1964,-9.54058
429,18.9508,-12.983
431,18.2412,-12.989
432,18.097,-12.9952
433,23.8551,-16.239
435,23.1633,-16.1998
436,23.075,-16.215
437,29.199,-19.555
439,28.0615,-19.4718
440,28.0728,-19.5077
441,33.9527,-22.8738
443,32.9222,-22.7003
444,33.0212,-22.86
445,38.965,-26.16
447,37.7926,-26.2962
448,39.4924,-25.5589
449,43.5672,-29.2466
450,43.36,-29.3533
451,43.1997,-29.6588
452,43.0716,-29.6107
453,46.6858,-31.439
455,46.0799,-31.3742
457,53.5496,-35.8388
521,1.61525,-2.87177
523,1.61057,-2.97631
524,1.29583,-2.88056
525,5.30936,-5.23314
527,5.17996,-5.33041
528,5.26353,-5.41709
529,10.8102,-8.77347
531,10.3489,-8.74953
532,10.1843,-8.82886
533,15.9971,-12.0555
535,15.282,-11.97
536,15.1448,-11.9531
537,20.7778,-15.3537
539,20.2684,-15.3323
540,20.3207,-15.4462
541,26.0157,-18.9265
542,25.9908,-18.923
543,25.2724,-18.5823
544,25.2542,-18.7325
545,30.7724,-22.0075
547,30.031,-21.7285
548,30.1117,-21.9889
549,35.9194,-25.4338
551,35.166,-25.0899
552,35.1599,-25.3075
553,43.1043,-30.0982
554,43.0073,-30.4295
555,42.1523,-29.7945
557,46.4523,-32.264
559,45.5505,-32.2345
561,51.0009,-35.2646
565,55.1855,-38.949
