time,x,y,theta
1753181534.974067,-1.691432,8.500062,-0.021429
1753181535.069946,-1.682453,8.574142,-0.028153
1753181535.167049,-1.635911,8.544008,-0.031270
1753181535.278572,-1.545775,8.556901,-0.032069
1753181535.381259,-1.482981,8.528248,-0.033531
1753181535.471887,-1.444728,8.530774,-0.033630
1753181535.569190,-1.401923,8.546670,-0.036863
1753181535.672276,-1.294317,8.571734,-0.038754
1753181535.772142,-1.242317,8.544251,-0.036840
1753181535.872824,-1.178169,8.513640,-0.040265
1753181535.970159,-1.215691,8.539112,-0.037685
1753181536.067664,-1.188007,8.549604,-0.036556
1753181536.170238,-1.091803,8.514659,-0.034856
1753181536.274375,-1.032501,8.538944,-0.033148
1753181536.371143,-0.922768,8.506567,-0.035754
1753181536.470296,-0.851008,8.534985,-0.040106
1753181536.570447,-0.695042,8.497703,-0.042720
1753181536.671853,-0.696837,8.506886,-0.042403
1753181536.768582,-0.566312,8.482376,-0.049499
1753181536.873826,-0.522021,8.466279,-0.040449
1753181536.969055,-0.523631,8.503347,-0.050476
1753181537.074596,-0.408331,8.489322,-0.046556
1753181537.170332,-0.329007,8.457170,-0.044776
1753181537.271474,-0.226111,8.473422,-0.047238
1753181537.372655,-0.118015,8.473153,-0.051447
1753181537.477181,-0.046168,8.460708,-0.054945
1753181537.571329,-0.016687,8.466043,-0.054938
1753181537.672611,0.095298,8.454845,-0.059985
1753181537.775158,0.127885,8.436134,-0.067191
1753181537.873174,0.279966,8.430399,-0.067936
1753181537.971833,0.219833,8.391029,-0.059727
1753181538.075130,0.490287,8.391891,-0.066527
1753181538.171827,0.592234,8.437022,-0.060472
1753181538.270426,0.758471,8.368213,-0.067796
1753181538.375326,0.802978,8.414274,-0.074404
1753181538.471502,0.842191,8.403798,-0.072522
1753181538.570351,0.967027,8.381449,-0.080792
1753181538.668686,1.016411,8.361228,-0.077300
1753181538.775042,1.075418,8.378363,-0.069189
1753181538.874134,1.144010,8.348210,-0.070329
1753181538.971126,1.404601,8.310517,-0.079058
1753181539.071814,1.457348,8.293726,-0.072243
1753181539.170029,1.594757,8.280903,-0.069759
1753181539.276056,1.746562,8.321592,-0.070461
1753181539.373191,1.800737,8.339713,-0.059371
1753181539.473401,1.929905,8.331564,-0.043159
1753181539.571958,1.974284,8.333867,-0.029327
1753181539.670594,2.091403,8.298096,-0.009902
1753181539.778136,2.120693,8.251395,0.009979
1753181539.872302,2.295315,8.236655,0.018170
1753181539.977881,2.290010,8.311966,0.015911
1753181540.072047,2.516495,8.254899,0.020931
1753181540.173490,2.587098,8.259619,0.013892
1753181540.268229,2.812839,8.215901,0.008730
1753181540.393225,2.794608,8.287265,0.005156
1753181540.472759,2.919909,8.231419,0.005060
1753181540.569436,3.030279,8.238459,-0.000139
1753181540.669833,3.175171,8.251135,0.001720
1753181540.771508,3.289829,8.240898,-0.003546
1753181540.872876,3.408057,8.233174,-0.002104
1753181540.977343,3.483858,8.248050,-0.011412
1753181541.079547,3.640647,8.247113,-0.017817
1753181541.171315,3.587272,8.289515,-0.018588
1753181541.273336,3.715148,8.275462,-0.017250
1753181541.372162,3.804673,8.302674,-0.020037
1753181541.473907,3.928197,8.244734,-0.020588
1753181541.571089,3.986902,8.260950,-0.026313
1753181541.671149,4.099448,8.217264,-0.028578
1753181541.774629,4.087216,8.260819,-0.032281
1753181541.872735,4.259901,8.256812,-0.038391
1753181541.974863,4.413134,8.246961,-0.048524
1753181542.070692,4.546916,8.269969,-0.055284
1753181542.177227,4.646262,8.239823,-0.060383
1753181542.274820,4.771585,8.243787,-0.068522
1753181542.372108,4.798366,8.246196,-0.072388
1753181542.473233,4.949485,8.222678,-0.074189
1753181542.571662,5.030118,8.175448,-0.070600
