time,x,y,theta
1753879881.937394,-0.274764,-0.038721,0.022722
1753879882.047283,-0.220800,-0.036807,0.021652
1753879882.124559,-0.193401,-0.012823,0.015647
1753879882.253184,-0.171562,-0.021200,0.016874
1753879882.370101,-0.188408,-0.016371,0.020531
1753879882.404588,-0.197362,-0.017905,0.017290
1753879883.035836,-0.130532,-0.019490,0.026214
1753879883.122054,-0.065047,-0.026539,0.028085
1753879883.236622,0.019326,-0.028232,0.030495
1753879883.441792,0.205767,0.004112,0.013125
1753879883.520528,0.331507,0.025717,0.010796
1753879883.733377,0.558307,0.032873,-0.003822
1753879883.842238,0.710378,-0.109163,0.025587
1753879883.916208,0.990911,0.007236,0.000126
1753879884.047986,1.041221,-0.046453,0.008003
1753879884.241973,1.334483,-0.119489,0.019952
1753879884.337822,1.472203,-0.073135,0.006526
1753879884.451101,1.581256,-0.025946,-0.006034
1753879884.534031,1.439508,-0.061789,0.000700
1753879884.653465,1.546341,-0.067925,0.013103
1753879884.854707,1.632587,-0.050416,0.041238
1753879884.951454,1.703389,-0.044771,0.055788
1753879885.031529,1.761157,-0.048684,0.056370
1753879885.155225,1.853756,-0.019162,0.035693
1753879885.238117,1.927890,-0.048848,0.077698
1753879885.355544,2.026545,-0.033916,0.060769
1753879885.449550,2.116005,-0.029962,0.057940
1753879885.524124,2.214610,-0.020873,0.051685
1753879885.639424,2.309182,-0.016423,0.040849
1753879885.741147,2.406371,-0.001433,0.022880
1753879885.858126,2.514444,-0.005333,0.023966
1753879885.953422,2.605950,0.007334,0.013342
1753879886.543492,2.681712,0.006373,0.015456
1753879886.618986,2.769595,0.013931,0.017196
1753879886.751606,2.857776,0.022971,0.004817
1753879886.956428,2.959513,0.029031,0.016672
1753879887.157166,3.062949,0.030448,0.008078
1753879887.239260,3.170563,0.037336,-0.001172
1753879887.357789,3.284537,0.044587,0.016081
1753879887.429521,3.392076,0.055489,-0.021697
1753879887.656165,3.545812,0.055629,0.001778
1753879887.732642,3.668556,0.054999,0.005728
1753879887.859224,3.789526,0.057208,0.011260
1753879887.936156,3.924948,0.065260,0.004801
1753879888.057229,4.065769,0.071344,0.001796
1753879888.175778,4.201039,0.074595,0.000700
1753879888.296836,4.342304,0.083062,-0.001820
1753879888.394043,4.481081,0.079671,0.001385
1753879888.452669,4.612230,0.088269,-0.010014
1753879888.704472,4.795190,0.078235,0.004395
1753879888.785553,4.939746,0.091083,-0.005707
1753879888.914737,5.083197,0.090947,-0.001809
1753879888.958965,5.227109,0.082190,-0.007712
1753879889.117779,5.369312,0.088161,0.001186
1753879889.193338,5.529234,0.092258,0.001188
1753879889.241309,5.657184,0.084992,-0.003407
1753879889.373100,5.806304,0.083538,-0.004974
1753879889.439760,5.956388,0.085955,-0.008861
1753879889.571016,6.093826,0.091872,-0.019056
1753879889.650759,6.234429,0.102663,-0.018076
1753879889.866091,6.400494,0.106528,-0.014969
1753879890.066982,6.597966,0.094974,0.001962
1753879890.122249,6.751586,0.098283,-0.003196
1753879890.379259,6.933499,0.073512,0.020278
1753879890.423789,7.087372,0.041409,0.045935
1753879890.554606,7.277954,0.068107,0.012105
1753879890.626636,7.434183,0.061431,0.019666
1753879890.760511,7.604558,0.059367,0.038626
1753879890.833112,7.767001,0.059923,0.041190
1753879890.959928,7.935519,0.070112,0.036686
1753879891.039235,8.093460,0.068933,0.039501
1753879891.171326,8.253781,0.069328,0.039399
1753879891.342069,8.427559,0.074487,0.041761
1753879891.402320,8.588584,0.081220,0.037790
1753879891.440435,8.727923,0.086749,0.035489
1753879891.557191,8.884604,0.081469,0.043874
1753879891.686344,9.034654,0.093803,0.016640
1753879891.735107,9.190429,0.095105,0.032665
1753879891.913912,9.344293,0.093972,0.033593
1753879891.950027,9.482048,0.093232,0.036209
1753879892.110170,9.651018,0.110428,0.004141
1753879892.161887,9.793865,0.114729,-0.001598
1753879892.241250,9.960466,0.121248,-0.014869
1753879892.390155,10.109983,0.119542,-0.009977
1753879892.464142,10.268153,0.128685,-0.010026
1753879892.588252,10.413756,0.128505,-0.011586
1753879892.655119,10.570578,0.116910,0.001201
1753879892.862161,10.740523,0.133306,0.003596
1753879892.947952,10.897377,0.134990,0.024338
1753879893.042761,11.051830,0.135679,0.024507
1753879893.149730,11.205479,0.138736,0.013600
1753879893.275978,11.364430,0.139579,0.031192
1753879893.364174,11.518623,0.148519,0.022980
1753879893.485712,11.673250,0.152784,0.019541
1753879893.545701,11.824165,0.153665,0.028640
1753879893.651919,11.981241,0.158666,0.020528
1753879893.755949,12.131037,0.162899,0.018705
1753879893.852091,12.283945,0.170031,0.011940
1753879893.975342,12.429989,0.170371,0.014880
1753879894.053070,12.583951,0.177464,0.006390
1753879894.185227,12.732155,0.180943,-0.000415
1753879894.262305,12.886696,0.182176,-0.001195
1753879894.334817,13.009814,0.195940,-0.011743
1753879894.486428,13.173010,0.179280,0.005215
1753879894.536049,13.310773,0.136458,0.044290
1753879894.698935,13.484331,0.183511,-0.008802
1753879894.782282,13.627247,0.176302,-0.003789
1753879894.858637,13.767982,0.169843,0.002505
1753879895.000439,13.922663,0.173549,-0.010308
1753879895.059630,14.075010,0.183287,-0.014635
1753879895.163393,14.213035,0.186651,-0.019046
1753879895.273765,14.356493,0.180797,-0.017392
1753879895.346950,14.506492,0.181684,-0.026310
1753879895.466156,14.659163,0.193826,-0.033882
1753879895.558618,14.796611,0.183455,-0.019821
1753879895.676468,14.945411,0.190188,-0.012463
1753879895.779180,15.094004,0.186400,-0.016910
1753879895.843210,15.230296,0.184593,-0.022660
1753879895.966972,15.375382,0.191492,-0.035813
1753879896.048117,15.522637,0.175810,-0.016453
1753879896.179507,15.674486,0.177013,-0.023123
1753879896.239857,15.816282,0.183988,-0.029035
1753879896.373896,15.952926,0.179181,-0.026536
1753879896.451611,16.103960,0.175137,-0.031216
1753879896.575536,16.263232,0.184906,-0.033765
1753879896.655727,16.401892,0.173492,-0.018467
1753879896.772907,16.557029,0.175597,-0.001823
1753879896.865194,16.692599,0.195041,-0.022052
1753879896.984301,16.843189,0.190484,-0.014076
1753879897.062545,16.994948,0.174106,0.000080
1753879897.190207,17.142086,0.175657,-0.008317
1753879897.294476,17.269895,0.176443,-0.004048
1753879897.358405,17.421150,0.173082,-0.011318
1753879897.503712,17.558480,0.166718,0.003355
1753879897.566481,17.700785,0.170273,-0.038177
1753879897.710566,17.855134,0.169031,-0.030739
1753879897.761703,17.987342,0.158819,-0.002568
1753879897.896814,18.142129,0.163287,-0.018224
1753879897.957978,18.274992,0.170002,-0.033020
1753879898.089700,18.423801,0.165925,-0.026989
1753879898.170528,18.565477,0.163549,-0.029702
1753879898.273788,18.713552,0.160244,-0.023882
1753879898.389925,18.850690,0.160304,-0.026664
1753879898.462008,18.998017,0.156744,-0.020965
1753879898.611573,19.147752,0.149695,-0.018908
1753879898.694928,19.270729,0.151244,-0.023228
1753879898.762980,19.422910,0.144838,-0.009068
1753879898.894639,19.578835,0.130678,0.036900
1753879898.968666,19.721491,0.132854,0.042265
1753879899.071861,19.853168,0.123021,0.064014
1753879899.202696,20.007266,0.120256,0.055497
1753879899.365383,20.180207,0.124271,0.057953
1753879899.462395,20.315790,0.125736,0.064337
1753879899.571285,20.471926,0.132164,0.052769
1753879899.664649,20.614873,0.132412,0.039130
1753879899.789122,20.773360,0.144534,0.040925
1753879899.859511,20.927936,0.143983,0.061383
1753879899.965671,21.077632,0.154122,0.047173
1753879900.082469,21.227858,0.156512,0.043965
1753879900.162165,21.377505,0.163462,0.042676
1753879900.265368,21.534204,0.171620,0.038112
1753879900.364925,21.676818,0.170170,0.047285
1753879900.490664,21.827941,0.176571,0.044172
1753879900.606811,21.967650,0.179198,0.046394
1753879900.655330,22.117687,0.181437,0.044707
1753879900.753529,22.267991,0.189544,0.043704
1753879900.914623,22.412419,0.197425,0.040540
1753879901.007260,22.560442,0.192374,0.044833
1753879901.062366,22.697227,0.211983,0.025145
1753879901.215828,22.864407,0.172915,0.064326
1753879901.323551,22.996200,0.209370,0.030555
1753879901.390791,23.148484,0.206415,0.033308
1753879901.525071,23.295932,0.213839,0.027293
1753879901.642949,23.444344,0.220666,0.021295
1753879901.678999,23.583136,0.219271,0.024221
1753879901.828452,23.729849,0.222027,0.052799
1753879901.875427,23.878705,0.239605,0.016762
1753879901.973485,24.023218,0.243193,0.018725
1753879902.070860,24.166673,0.240834,0.025700
1753879902.195789,24.318530,0.254794,0.015479
1753879902.280089,24.458071,0.246556,0.029878
1753879902.353468,24.604771,0.251676,0.018358
1753879902.578941,24.765552,0.258348,0.011420
1753879902.695803,24.930464,0.248423,0.020878
1753879902.764480,25.068702,0.256613,0.011299
1753879902.860279,25.214993,0.254243,0.012291
1753879902.958042,25.380917,0.245118,0.010075
1753879903.059560,25.532350,0.256368,-0.004149
1753879903.161993,25.680527,0.255765,-0.001401
1753879903.259650,25.830603,0.254803,-0.004965
1753879903.370440,25.968305,0.249103,0.008393
1753879903.460118,26.119699,0.253577,0.002782
1753879903.590150,26.277655,0.252692,0.039319
1753879903.670010,26.421823,0.257072,0.073148
1753879903.772767,26.560790,0.256625,0.081068
1753879903.872267,26.717993,0.270880,0.060376
1753879903.976498,26.864998,0.273804,0.061915
1753879904.076524,27.006549,0.275509,0.055781
1753879904.169535,27.147442,0.284439,0.053554
1753879904.266300,27.305147,0.291737,0.060482
1753879904.366329,27.452841,0.296598,0.057660
1753879904.473456,27.603430,0.310919,0.046922
1753879904.571351,27.746340,0.308695,0.049423
1753879904.673079,27.895503,0.326213,0.033863
1753879904.770395,28.042090,0.333125,0.042205
1753879904.871079,28.195012,0.341410,0.034890
1753879904.969339,28.343417,0.348252,0.021050
1753879905.074074,28.496286,0.342048,0.030231
1753879905.308501,28.683497,0.343978,0.030985
1753879905.493333,28.847592,0.356674,0.016056
1753879905.584049,29.011639,0.362461,0.021813
1753879905.689802,29.164139,0.362965,0.002542
1753879905.800400,29.328859,0.365526,0.010566
